2025-10-06 21:45:35,318 - MultiInterfaceGUI - INFO - setup_logging:574 - Multi-Interface Shark GUI logging initialized
2025-10-06 21:45:35,441 - MultiInterfaceGUI - INFO - setup_auto_save:581 - Auto-save enabled: saving session state every 30 seconds
2025-10-06 21:45:38,238 - MultiInterfaceGUI - INFO - log_message:867 - 🦈 Starting Multi-Interface Network Monitor...
2025-10-06 21:45:38,241 - MultiInterfaceGUI - INFO - log_message:867 - 📅 Monitoring duration set to: 6h 0m (21600s)
2025-10-06 21:45:38,241 - MultiInterfaceGUI - INFO - log_message:867 - ✅ Multi-interface monitoring started successfully!
2025-10-06 21:45:38,242 - MultiInterfaceGUI - INFO - log_message:867 - 🦈 Starting Multi-Interface Network Monitor...
2025-10-06 21:45:38,242 - persistent_wireshark_monitor - INFO - setup_logging:83 - Persistent Wireshark Monitor initialized
2025-10-06 21:45:38,243 - persistent_wireshark_monitor - WARNING - __init__:66 - Could not register signal handlers (not main thread): signal only works in main thread of the main interpreter
2025-10-06 21:45:38,250 - persistent_wireshark_monitor - ERROR - discover_interfaces:115 - Failed to discover interfaces: [Errno 2] No such file or directory: 'tshark'
2025-10-06 21:45:38,253 - persistent_wireshark_monitor - INFO - detect_interface_activity:151 - Activity detected on lo0: +221856 packets, +366080000 bytes
2025-10-06 21:46:40,527 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:46:42,535 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:46:44,543 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:46:46,552 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:46:48,560 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:46:50,569 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:46:52,579 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:46:54,588 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:46:56,599 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:46:58,607 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:00,617 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:02,628 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:04,638 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:05,731 - MultiInterfaceGUI - DEBUG - save_session_state:632 - Session state saved successfully
2025-10-06 21:47:06,649 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:08,656 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:10,665 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:12,675 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:14,681 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:16,691 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:18,698 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:20,712 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:22,726 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:24,740 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:26,751 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:28,760 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:30,765 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:32,775 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:34,784 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:35,730 - MultiInterfaceGUI - DEBUG - save_session_state:632 - Session state saved successfully
2025-10-06 21:47:36,793 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:38,798 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:40,809 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:42,822 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:44,836 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:46,846 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:48,857 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:50,868 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:52,877 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:54,890 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:56,900 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:47:58,910 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:00,918 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:02,925 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:04,936 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:05,730 - MultiInterfaceGUI - DEBUG - save_session_state:632 - Session state saved successfully
2025-10-06 21:48:06,942 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:08,953 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:10,959 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:12,965 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:14,972 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:16,977 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:18,987 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:20,995 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:23,000 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:25,007 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:27,018 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:29,024 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:31,031 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:33,042 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:35,053 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:35,731 - MultiInterfaceGUI - DEBUG - save_session_state:632 - Session state saved successfully
2025-10-06 21:48:37,059 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:39,064 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
